profile_id,building_id,owner_type,num_properties_owned,annual_rental_income_eur,existing_mortgage_eur,credit_rating,max_loan_capacity_eur,cash_reserves_eur,age_of_owner,avg_tenant_income_eur,avg_rent_eur_m2,rent_control_applies,max_rent_increase_pct,tenant_hardship_risk,vacancy_rate_pct,risk_tolerance
FIN-00001,BLD-00001,Corporate landlord,18,364231.2,358222.78,Excellent,277203.64,184323.85,0,44477.0,16.03,FALSE,0.0,Low,3.0,Medium
FIN-00002,BLD-00002,Housing cooperative,1,0.0,356091.43,Very Good,510457.41,87970.77,0,51694.0,10.11,FALSE,0.0,Medium,0.8,High
FIN-00003,BLD-00003,Individual,2,380705.97,150453.37,Fair,50635.26,78271.37,58,61021.0,9.62,TRUE,8.0,Low,0.1,Medium
FIN-00004,BLD-00004,Corporate landlord,36,58999.4,1307907.93,Good,637734.09,101898.22,0,40897.0,15.74,TRUE,8.0,Low,1.4,High
FIN-00005,BLD-00005,Condominium,1,0.0,6129.24,Good,599494.13,126167.1,0,85256.0,16.05,TRUE,8.0,Medium,0.0,Medium
FIN-00006,BLD-00006,Corporate landlord,7,423111.07,940737.24,Good,281924.25,191838.3,0,42933.0,14.74,TRUE,8.0,Low,1.8,Medium
FIN-00007,BLD-00007,Corporate landlord,33,386332.21,766329.43,Excellent,104422.05,14236.39,0,63816.0,21.39,FALSE,0.0,Medium,5.8,Low
FIN-00008,BLD-00008,Condominium,1,0.0,125018.46,Good,404089.92,57804.38,0,56476.0,14.7,TRUE,8.0,Medium,0.0,Medium
FIN-00009,BLD-00009,Housing cooperative,1,0.0,137190.98,Good,594202.63,173368.03,0,31925.0,10.98,FALSE,0.0,Medium,0.8,Medium
FIN-00010,BLD-00010,Individual,2,62087.99,582003.56,Very Good,191612.52,51264.39,57,52478.0,11.17,FALSE,0.0,High,0.1,Low
FIN-00011,BLD-00011,Municipal,18,257673.6,0.0,Excellent,62843.67,113688.19,0,30145.0,9.94,TRUE,8.0,High,1.7,Low
FIN-00012,BLD-00012,Municipal,47,216729.6,0.0,Excellent,169222.34,20804.86,0,30117.0,8.07,TRUE,8.0,High,4.9,Low
FIN-00013,BLD-00013,Municipal,68,167366.4,0.0,Excellent,187602.5,160190.6,0,34848.0,8.13,TRUE,8.0,Medium,4.0,Low
FIN-00014,BLD-00014,Individual,5,33912.34,114690.72,Excellent,81583.7,58590.89,68,55365.0,12.33,TRUE,8.0,High,5.4,Low
FIN-00015,BLD-00015,Condominium,1,0.0,120768.05,Excellent,275550.84,183451.31,0,48303.0,18.55,TRUE,8.0,Medium,0.0,High
FIN-00016,BLD-00016,Condominium,1,0.0,51196.12,Very Good,147524.38,11684.33,0,48669.0,12.32,TRUE,8.0,Low,0.0,Low
FIN-00017,BLD-00017,Condominium,1,0.0,83068.53,Excellent,68047.06,100733.5,0,87126.0,18.67,TRUE,8.0,Low,0.0,Low
FIN-00018,BLD-00018,Corporate landlord,27,841427.66,1016701.3,Excellent,798993.0,133799.8,0,54510.0,16.54,TRUE,8.0,Low,1.0,Low
FIN-00019,BLD-00019,Individual,1,84736.72,531155.3,Good,687630.13,57096.08,36,56127.0,10.55,FALSE,0.0,High,6.8,Medium
FIN-00020,BLD-00020,Individual,5,72856.08,392331.81,Good,104974.9,133902.14,35,52016.0,9.8,TRUE,8.0,Medium,8.7,Low
FIN-00021,BLD-00021,Corporate landlord,31,217065.33,203136.39,Good,534330.61,171388.67,0,44454.0,20.06,FALSE,0.0,Low,2.3,Medium
FIN-00022,BLD-00022,Individual,5,110243.36,54181.32,Very Good,279252.46,63717.2,37,33795.0,9.45,TRUE,8.0,Medium,0.9,Medium
FIN-00023,BLD-00023,Municipal,64,263328.0,0.0,Excellent,487701.07,168528.75,0,34895.0,7.53,TRUE,8.0,Medium,2.0,Low
FIN-00024,BLD-00024,Municipal,48,130800.0,0.0,Excellent,241040.46,125464.62,0,43215.0,7.48,TRUE,8.0,High,3.6,High
FIN-00025,BLD-00025,Corporate landlord,37,271580.88,205948.56,Very Good,175339.12,157898.89,0,72914.0,21.95,TRUE,8.0,Low,1.1,Medium
FIN-00026,BLD-00026,Corporate landlord,20,965514.4,256675.45,Good,708053.92,85353.5,0,69630.0,17.42,TRUE,8.0,Low,4.2,Medium
FIN-00027,BLD-00027,Municipal,38,221385.6,0.0,Excellent,69078.32,54999.83,0,33469.0,8.15,TRUE,8.0,High,2.7,Low
FIN-00028,BLD-00028,Condominium,1,0.0,93409.01,Good,187660.37,78179.02,0,78216.0,15.64,TRUE,8.0,Medium,0.0,High
FIN-00029,BLD-00029,Municipal,28,450960.0,0.0,Excellent,80775.7,14010.22,0,34192.0,9.66,TRUE,8.0,High,3.6,High
FIN-00030,BLD-00030,Individual,4,746317.11,588835.48,Fair,113787.06,87244.61,73,60602.0,10.32,FALSE,0.0,High,5.4,Low
FIN-00031,BLD-00031,Housing cooperative,1,0.0,180145.46,Good,209054.29,31644.88,0,47133.0,8.39,FALSE,0.0,Medium,0.9,Low
FIN-00032,BLD-00032,Condominium,1,0.0,117389.35,Excellent,309867.65,97825.28,0,65571.0,12.73,TRUE,8.0,Low,0.0,Low
FIN-00033,BLD-00033,Housing cooperative,1,0.0,153151.2,Good,192693.06,89565.35,0,45955.0,7.88,FALSE,0.0,Medium,1.8,Medium
FIN-00034,BLD-00034,Municipal,52,198316.8,0.0,Excellent,128277.77,73402.68,0,32514.0,8.18,TRUE,8.0,High,2.5,High
FIN-00035,BLD-00035,Housing cooperative,1,0.0,226369.57,Good,405171.48,58390.75,0,32968.0,8.06,FALSE,0.0,Medium,0.9,High
FIN-00036,BLD-00036,Condominium,1,0.0,144565.03,Good,394339.5,191744.04,0,46561.0,19.28,TRUE,8.0,Medium,0.0,High
FIN-00037,BLD-00037,Condominium,1,0.0,36066.46,Very Good,391806.34,95021.39,0,80222.0,16.3,TRUE,8.0,Low,0.0,Low
FIN-00038,BLD-00038,Condominium,1,0.0,68185.11,Good,171494.96,39873.58,0,50511.0,15.27,TRUE,8.0,Low,0.0,Medium
FIN-00039,BLD-00039,Condominium,1,0.0,62399.85,Good,117422.01,21866.82,0,75438.0,14.17,TRUE,8.0,Medium,0.0,Medium
FIN-00040,BLD-00040,Housing cooperative,1,0.0,394285.22,Very Good,354426.11,172331.2,0,34164.0,7.77,FALSE,0.0,Low,2.8,Low
FIN-00041,BLD-00041,Housing cooperative,1,0.0,372089.94,Good,132389.38,177009.45,0,34695.0,8.19,FALSE,0.0,Medium,1.8,High
FIN-00042,BLD-00042,Individual,4,46602.07,301985.75,Good,509297.92,86090.89,57,55229.0,11.56,TRUE,8.0,Medium,1.4,High
FIN-00043,BLD-00043,Housing cooperative,1,0.0,196543.75,Good,226229.87,161598.95,0,32631.0,9.74,FALSE,0.0,Medium,2.3,Medium
FIN-00044,BLD-00044,Condominium,1,0.0,28436.86,Excellent,752984.74,150500.36,0,58482.0,17.29,TRUE,8.0,Medium,0.0,Low
FIN-00045,BLD-00045,Corporate landlord,18,1231964.68,1479156.77,Excellent,479080.32,78916.4,0,50622.0,20.24,TRUE,8.0,Low,4.6,Medium
FIN-00046,BLD-00046,Condominium,1,0.0,145324.02,Good,670607.04,122156.02,0,82408.0,16.77,TRUE,8.0,Medium,0.0,Low
FIN-00047,BLD-00047,Condominium,1,0.0,144070.03,Good,518026.78,170728.92,0,59034.0,19.25,TRUE,8.0,Low,0.0,High
FIN-00048,BLD-00048,Corporate landlord,15,643178.93,1305462.76,Very Good,790244.48,22314.64,0,64873.0,19.99,FALSE,0.0,Low,5.2,High
FIN-00049,BLD-00049,Individual,1,175177.78,434324.06,Very Good,567236.59,96598.82,47,42756.0,12.09,TRUE,8.0,Medium,4.3,Low
FIN-00050,BLD-00050,Corporate landlord,27,231089.44,1126836.28,Excellent,760999.3,12307.45,0,61694.0,18.66,TRUE,8.0,Low,3.7,Medium
FIN-00051,BLD-00051,Housing cooperative,1,0.0,306347.22,Excellent,291943.97,49267.63,0,32180.0,9.34,FALSE,0.0,Medium,0.7,Low
FIN-00052,BLD-00052,Municipal,47,110601.6,0.0,Excellent,404552.07,93958.7,0,32170.0,8.2,TRUE,8.0,High,3.5,Medium
FIN-00053,BLD-00053,Housing cooperative,1,0.0,218505.98,Excellent,153271.38,97835.54,0,48810.0,7.2,FALSE,0.0,Medium,1.1,High
FIN-00054,BLD-00054,Housing cooperative,1,0.0,53552.88,Very Good,464340.54,122010.88,0,44658.0,10.38,FALSE,0.0,Medium,0.1,High
FIN-00055,BLD-00055,Housing cooperative,1,0.0,219759.31,Very Good,419785.08,174258.78,0,32809.0,10.73,FALSE,0.0,Medium,2.7,Low
FIN-00056,BLD-00056,Housing cooperative,1,0.0,278501.97,Good,257368.34,182155.89,0,39819.0,8.97,FALSE,0.0,Low,1.5,Medium
FIN-00057,BLD-00057,Municipal,49,522480.0,0.0,Excellent,285907.66,169450.38,0,33078.0,8.24,TRUE,8.0,Medium,4.3,Medium
FIN-00058,BLD-00058,Individual,5,359475.39,220044.2,Very Good,68248.71,78133.24,77,55541.0,12.16,FALSE,0.0,Medium,10.0,High
FIN-00059,BLD-00059,Individual,2,136449.45,64966.21,Good,312970.2,103026.68,73,44605.0,12.82,TRUE,8.0,High,2.7,Low
FIN-00060,BLD-00060,Condominium,1,0.0,137548.43,Excellent,516436.62,187045.48,0,51344.0,14.26,TRUE,8.0,Low,0.0,High
FIN-00061,BLD-00061,Municipal,36,38899.2,0.0,Excellent,141620.85,5273.11,0,30880.0,7.8,TRUE,8.0,Medium,2.3,Medium
FIN-00062,BLD-00062,Individual,4,32368.72,483811.66,Very Good,357537.22,167603.35,60,38408.0,12.92,TRUE,8.0,Medium,1.9,Medium
FIN-00063,BLD-00063,Municipal,49,87446.4,0.0,Excellent,98692.48,156085.37,0,35693.0,8.63,TRUE,8.0,High,2.3,Low
FIN-00064,BLD-00064,Municipal,71,115785.6,0.0,Excellent,719956.82,65968.14,0,43015.0,7.09,TRUE,8.0,Medium,2.6,High
FIN-00065,BLD-00065,Condominium,1,0.0,31550.0,Good,496955.17,171231.06,0,66392.0,17.81,TRUE,8.0,Low,0.0,High
FIN-00066,BLD-00066,Housing cooperative,1,0.0,314432.76,Excellent,645922.93,172533.38,0,39625.0,8.84,FALSE,0.0,Medium,0.8,High
FIN-00067,BLD-00067,Corporate landlord,6,117447.41,337822.18,Excellent,140344.64,49515.62,0,47563.0,17.7,FALSE,0.0,Low,2.0,High
FIN-00068,BLD-00068,Corporate landlord,49,198998.88,308836.06,Good,380061.43,132058.15,0,68332.0,17.3,TRUE,8.0,Medium,2.1,Medium
