building_id,district,postal_code,address,latitude,longitude,construction_year,building_type,num_units,total_area_m2,num_floors,roof_type,facade_material,window_type,heating_system,heating_age,insulation_walls,insulation_roof,insulation_basement,ownership_type,epc_rating,epc_date,energy_consumption_kwh_m2,last_renovation_year,listed_building
BLD-00001,Lichtenberg,10317,Landsberger Allee 36,52.496125,13.489252,1993,Modern,23,2012.0,3,Pitched,Brick,Double-pane,District heating,15,Partial,None,Partial,Corporate landlord,B,2021-10-01,71.4,,FALSE
BLD-00002,Lichtenberg,13057,Bergmannstr. 41,52.50492,13.511249,2003,Modern,12,762.6,6,Mansard,Brick,Double-pane,Heat pump,7,Full,Full,None,Housing cooperative,C,2018-11-09,95.7,2005,FALSE
BLD-00003,Treptow-Köpenick,12437,Marzahner Chaussee 76,52.488656,13.517853,1900,Gründerzeit,41,3556.9,7,Pitched,Brick,Triple-pane,Gas boiler,15,None,None,Full,Private landlord,G,2019-04-06,239.5,,FALSE
BLD-00004,Steglitz-Zehlendorf,12167,Danziger Str. 180,52.446658,13.258856,2010,Modern,4,337.5,4,Flat,Concrete,Triple-pane,Heat pump,18,Full,Full,Full,Corporate landlord,C,2017-06-18,80.5,2023,FALSE
BLD-00005,Charlottenburg-Wilmersdorf,10585,Berliner Str. 55,52.518177,13.308082,1990,1980s block,12,1092.6,5,Hip,Mixed,Triple-pane,District heating,17,Partial,Partial,None,Condominium,E,2017-10-07,149.3,2007,FALSE
BLD-00006,Tempelhof-Schöneberg,12103,Warschauer Str. 131,52.47129,13.399813,1969,1970s block,26,2661.4,2,Flat,Mixed,Single-pane,Mixed,28,Partial,Partial,None,Corporate landlord,E,2015-09-18,157.8,2019,FALSE
BLD-00007,Treptow-Köpenick,12435,Gatower Str. 69,52.474014,13.491455,1900,Gründerzeit,23,1636.3,3,Flat,Render,Single-pane,Mixed,17,Partial,None,None,Corporate landlord,H,2023-07-18,252.2,,FALSE
BLD-00008,Lichtenberg,13053,Wrangelstr. 40,52.532875,13.505536,1958,Post-war,7,615.6,2,Hip,Brick,Single-pane,Oil boiler,20,Partial,Partial,None,Condominium,F,2015-08-26,189.1,,FALSE
BLD-00009,Friedrichshain-Kreuzberg,10245,Gatower Str. 33,52.513298,13.468961,1981,Plattenbau,32,2226.5,4,Hip,Prefab panel,Double-pane,Electric,13,None,None,Partial,Housing cooperative,F,2019-06-23,184.0,2013,FALSE
BLD-00010,Treptow-Köpenick,12557,Karl-Marx-Str. 6,52.44605,13.50247,1987,1980s block,9,498.6,5,Pitched,Concrete,Double-pane,Gas boiler,22,Partial,Full,Partial,Private landlord,E,2020-10-06,146.2,,FALSE
BLD-00011,Charlottenburg-Wilmersdorf,14195,Hellersdorfer Str. 148,52.494631,13.345486,1971,1970s block,27,2684.1,9,Flat,Brick,Single-pane,Heat pump,23,Full,None,Partial,Municipal,E,2019-08-11,148.0,1993,FALSE
BLD-00012,Lichtenberg,10317,Frankfurter Allee 64,52.497728,13.520975,1966,Plattenbau,36,2257.6,9,Flat,Prefab panel,Single-pane,District heating,5,None,None,Partial,Municipal,G,2021-03-04,201.5,,FALSE
BLD-00013,Treptow-Köpenick,12435,Greifswalder Str. 43,52.48845,13.572637,1975,1970s block,17,1743.4,5,Pitched,Concrete,Single-pane,Heat pump,17,None,None,None,Municipal,F,2018-03-14,173.9,2021,FALSE
BLD-00014,Spandau,13587,Gatower Str. 16,52.553592,13.220543,2000,Modern,3,261.4,2,Flat,Brick,Mixed,Gas boiler,12,None,Full,Full,Private landlord,D,2021-09-03,105.9,,FALSE
BLD-00015,Tempelhof-Schöneberg,10779,Lichtenberger Str. 153,52.497372,13.369877,1909,Altbau,7,638.1,8,Mansard,Prefab panel,Single-pane,Mixed,21,Full,None,None,Condominium,H,2017-12-23,252.1,2009,FALSE
BLD-00016,Friedrichshain-Kreuzberg,10243,Frankfurter Allee 19,52.506457,13.479907,1982,1980s block,18,1121.1,6,Mansard,Brick,Double-pane,Oil boiler,19,Partial,Partial,None,Condominium,E,2019-11-30,148.9,2009,FALSE
BLD-00017,Lichtenberg,10315,Frankfurter Allee 35,52.525054,13.508822,1947,Post-war,30,2875.0,3,Flat,Prefab panel,Single-pane,District heating,22,Partial,None,Partial,Condominium,G,2022-09-16,211.1,2006,FALSE
BLD-00018,Spandau,13581,Danziger Str. 12,52.514153,13.20965,1891,Altbau,51,4592.1,4,Mansard,Concrete,Mixed,Mixed,28,None,None,Partial,Corporate landlord,H,2015-02-09,257.8,,FALSE
BLD-00019,Reinickendorf,13407,Lichtenberger Str. 142,52.579552,13.356768,1973,Plattenbau,10,719.5,2,Pitched,Prefab panel,Double-pane,Mixed,16,Partial,Full,None,Private landlord,E,2018-12-19,153.3,2016,FALSE
BLD-00020,Reinickendorf,13407,Torstr. 46,52.596659,13.308939,1968,1970s block,7,686.2,7,Hip,Mixed,Double-pane,Oil boiler,11,Full,Partial,Partial,Private landlord,F,2019-04-16,191.2,2020,FALSE
BLD-00021,Neukölln,12053,Landsberger Allee 58,52.465682,13.457721,1912,Altbau,14,1022.8,8,Pitched,Prefab panel,Single-pane,Electric,26,None,None,None,Corporate landlord,G,2018-09-18,218.9,1997,FALSE
BLD-00022,Spandau,13585,Schönhauser Allee 28,52.536127,13.248849,1985,1980s block,13,1027.0,7,Pitched,Render,Mixed,District heating,17,None,None,None,Private landlord,E,2022-12-13,156.6,2023,FALSE
